wv2_savi_M,wv2_savi_S,sno_savi_M,sno_savi_S,mos_savi_M,mos_savi_S,Dec_14,Dif_D_J,Jan_17,Dif_J_F,Feb_15,Dif_F_M,Mar_17,Dif_M_A,Apr_17,Dif_A_A,Apr_28
0.720937193,0.115125356,0.135397612,0.078137125,0.131084704,0.274488961,29.00001526,30.94720908,59.94722434,-0.507439855,59.43978449,18.46177701,77.90156149,-10.55864916,67.34291233,-24.08590244,43.25700989
0.5971209,0.101460686,0.069157968,0.063035348,0.036280849,0.226885418,30.73165286,32.62705446,63.35870731,-0.869821246,62.48888607,17.97068632,80.45957239,-9.334390868,71.12518152,-25.14370262,45.9814789
0.720609031,0.118647035,0.161999856,0.091271808,0.498219467,0.348867288,29.95777032,26.33576628,56.2935366,2.526768216,58.82030482,14.57059363,73.39089845,-14.13525388,59.25564457,-24.44079019,34.81485438
0.889289327,0.008363117,-0.048712207,0.00290938,0.10080549,0.166233968,25.94181147,25.83792479,51.77973625,-0.932859359,50.84687689,20.79664867,71.64352556,-11.73621315,59.90731241,-31.73075634,28.17655607
0.936915961,0.047837056,-0.055647376,0.005371682,0.24279132,0.195546753,27.55947585,26.10125156,53.6607274,-1.254183247,52.40654416,19.39591956,71.80246372,-11.54790127,60.25456245,-32.86881955,27.38574289
0.821645449,0.05500102,-0.053189555,0.005030125,0.16940034,0.163239208,25.03115855,26.46305733,51.49421589,-1.266539366,50.22767652,18.23595444,68.46363096,-10.08479094,58.37884003,-33.51575912,24.86308091
0.74843253,0.045951029,-0.054119876,0.007034992,0.085711351,0.101519484,23.44981108,26.01313479,49.46294586,1.977209507,51.44015537,14.92935887,66.36951424,-9.550094967,56.81941928,-34.32182999,22.49758928
0.855043421,0.036320209,-0.058062892,0.003617627,0.265161507,0.194141909,25.9898355,26.25603161,52.24586711,-1.344802397,50.90106471,18.08449119,68.9855559,-9.899894122,59.08566178,-32.82366761,26.26199417
0.80563152,0.037764359,-0.051324344,0.005021598,0.214864075,0.148211297,25.05153828,26.51724581,51.56878409,-1.021607054,50.54717704,16.68984585,67.23702289,-8.527944176,58.70907871,-33.09063904,25.61843967
0.841336581,0.036768434,-0.052712854,0.006225999,0.066813022,0.147057622,25.21447711,29.43120824,54.64568535,-2.413829521,52.23185583,18.7861063,71.01796212,-10.58119283,60.4367693,-30.75074175,29.68602755
0.804248023,0.04068312,-0.044960617,0.010145261,0.089220037,0.141723564,27.06452239,27.09141779,54.15594018,0.767267365,54.92320754,16.7881434,71.71135094,-11.54695567,60.16439528,-30.5753215,29.58907378
0.892309741,0.020316231,-0.03554351,0.004754832,0.017774029,0.098653169,26.55964861,28.44450394,55.00415254,-1.022710499,53.98144204,17.39123633,71.37267838,-10.00948092,61.36319746,-27.14221634,34.22098112
0.982257797,0.018539605,-0.026968853,0.007518096,-0.014851619,0.081756407,29.42407295,31.01723331,60.44130626,0.99022944,61.4315357,17.5950155,79.0265512,-9.929250132,69.09730107,-30.17714003,38.92016104
0.936565821,0.042183682,-0.019083563,0.017778765,0.109596908,0.239003496,36.58471915,35.15545836,71.74017751,-0.687406057,71.05277145,20.27946974,91.33224119,-8.295484553,83.03675663,-32.99055468,50.04620195
0.77431187,0.022365102,-0.036319632,0.00301286,-0.031607868,0.002761723,25.83401631,28.23778123,54.07179754,-1.07444204,52.9973555,17.95446915,70.95182466,-8.958247176,61.99357748,-30.69596988,31.2976076
0.926737459,0.062792246,0.08003472,0.077737677,0.329298637,0.329736806,37.24185671,31.4440984,68.68595511,-1.969054169,66.71690094,23.77755856,90.4944595,-9.880326175,80.61413333,-33.55527296,47.05886037
0.957160314,0.062500833,0.12314813,0.066085587,0.502998584,0.327387472,34.63015293,29.20846225,63.83861517,-0.508828555,63.32978662,17.43375135,80.76353797,-12.15443642,68.60910156,-26.9145143,41.69458725
0.883525292,0.053081675,-0.023419907,0.018194889,0.158169743,0.255589482,32.55976124,31.53528493,64.09504617,-3.960774786,60.13427138,25.32650517,85.46077655,-18.98464697,66.47612958,-25.68326819,40.79286139
0.873718513,0.05687802,0.012093557,0.063314592,0.303769698,0.341056077,38.6256122,33.69900353,72.32461573,-5.738898239,66.58571749,27.60703019,94.19274768,-20.39920979,73.79353788,-25.77102858,48.0225093
0.875227729,0.025274248,-0.033311638,0.006396745,-0.023868779,0.045672909,27.6942921,30.85932295,58.55361506,-3.451762812,55.10185225,21.31756392,76.41941617,-13.78281631,62.63659986,-28.38091347,34.25568639
0.800290251,0.082275545,-0.033665734,0.02108699,0.084108068,0.272725703,32.21947243,31.50964472,63.72911715,-5.195215175,58.53390197,27.19531633,85.7292183,-20.53605707,65.19316124,-25.42373841,39.76942282
0.716320982,0.052343363,-0.0391007,0.007413975,0.052256014,0.324165089,29.70530398,28.61896871,58.32427269,0.410878211,58.7351509,19.89792116,78.63307207,-11.98077959,66.65229247,-33.26099073,33.39130175
0.732708882,0.052013201,-0.042319856,0.004694309,-0.043697118,0.261373984,26.54725945,26.24377359,52.79103304,0.383508155,53.1745412,18.0148172,71.1893584,-7.995080498,63.1942779,-39.49708484,23.69719305
0.765386806,0.085515273,-0.043494597,0.009197507,0.101672867,0.285265758,32.8377779,28.62332241,61.46110032,-3.312972443,58.14812787,24.12982728,82.27795516,-19.21799639,63.05995877,-26.19914383,36.86081494
0.761634629,0.072462364,-0.041516172,0.006907089,0.041279889,0.200334783,29.79220696,29.3784855,59.17069246,-3.030756314,56.13993615,22.04232249,78.18225864,-15.57318202,62.60907663,-30.61166331,31.99741332
0.67290555,0.063860618,-0.043975721,0.005067718,0.034786764,0.172679039,26.10539882,27.95857539,54.0639742,-1.436540512,52.62743369,14.91949802,67.54693171,-9.939610328,57.60732138,-29.65107365,27.95624773
0.81488942,0.033489574,-0.03900566,0.006080053,0.022293862,0.167115183,27.83122948,31.66084246,59.49207194,-1.974677127,57.51739482,22.81168609,80.32908091,-17.48192311,62.8471578,-26.41354888,36.43360893
0.843087009,0.027594719,-0.032324112,0.013884868,-0.048703449,0.016938528,29.24085576,33.42588481,62.66674057,-1.486584681,61.18015589,21.09702563,82.27718152,-14.24793126,68.02925026,-29.0779,38.95135026
