wv2_B1_M,wv2_B1_S,wv2_B2_M,wv2_B2_S,wv2_B3_M,wv2_B3_S,wv2_B4_M,wv2_B4_S,wv2_B5_M,wv2_B5_S,wv2_B6_M,wv2_B6_S,wv2_B7_M,wv2_B7_S,wv2_B8_M,wv2_B8_S,sno_B1_M,sno_B1_S,sno_B2_M,sno_B2_S,sno_B3_M,sno_B3_S,sno_B4_M,sno_B4_S,sno_B5_M,sno_B5_S,sno_B6_M,sno_B6_S,sno_B7_M,sno_B7_S,sno_B8_M,sno_B8_S,mos_B1_M,mos_B1_S,mos_B2_M,mos_B2_S,mos_B3_M,mos_B3_S,mos_B4_M,mos_B4_S,f1_slope_M,f1_slope_S,f1_dtm_MEA,f1_dtm_STD,f1_dsm_MEA,f1_dsm_STD,f1_chm_MEA,f1_chm_STD,f2_slope_M,f2_slope_S,f2_dtm_MEA,f2_dtm_STD,f2_dsm_MEA,f2_dsm_STD,f2_chm_MEA,f2_chm_STD,dtm_dif_ME,dtm_dif_ST,f1_int_M,f1_int_S,f2_int_M,f2_int_S,wv2_ndvi_M,wv2_ndvi_S,sno_ndvi_M,sno_ndvi_S,mos_ndvi_M,mos_ndvi_S,wv2_ndwi_M,wv2_ndwi_S,sno_ndwi_M,sno_ndwi_S,mos_ndwi_M,mos_ndwi_S,wv2_ci_g_M,wv2_ci_g_S,wv2_ci_r_M,wv2_ci_r_S,sno_ci_g_M,sno_ci_g_S,sno_ci_r_M,sno_ci_r_S,mos_ci_g_M,mos_ci_g_S,wv2_savi_M,wv2_savi_S,sno_savi_M,sno_savi_S,mos_savi_M,mos_savi_S,Class
291.9402985,2.317233277,318.5870647,4.614883109,368.9552239,7.732658986,242.1741294,10.34117151,135.4825871,9.724101732,528.2338308,39.55888677,622,76.0072005,610.8507463,66.39687408,195.5125628,13.90956408,200.241206,14.67853561,204.5075377,15.04227522,202.6030151,17.05675395,203.160804,15.17682283,197.1959799,14.71528054,192.7487437,14.66466666,187.7035176,16.57804862,169.1168014,52.39253165,163.7322552,60.83359398,158.2735849,67.8546104,189.9865229,28.93908461,3.267895637,1.895217483,199.2846685,0.053192033,199.7178836,1.325297917,0.433215117,1.311035101,3.079081894,1.301224955,199.0108336,0.043909905,199.6755492,1.693566106,0.664715638,1.672712442,0.273834919,0.025477574,136.26,27.33042993,124.94,27.70516919,0.638113535,0.050391227,-0.026287799,0.011367386,0.135746471,0.176407465,-0.251258426,0.056093956,0.029635306,0.010779,-0.106180255,0.136569092,0.686838992,0.20969043,0.173588544,0.053994443,-0.057351203,0.02039174,-0.022553949,0.010175026,0.297922147,0.398080022,0.956537799,0.075587809,-0.039381823,0.017028499,0.203186103,0.264048063,34
294.2908163,4.66118551,324.3265306,7.624845947,370.244898,11.13604299,247.622449,9.522278181,142.5459184,9.022813132,494.3826531,17.6025133,560.7295918,30.78402948,569.744898,20.31050358,208.4179104,14.67134065,208.1442786,15.26169985,213.7014925,15.74171022,213.0199005,14.63790493,211.1741294,15.38638435,205.6766169,13.61261854,201.7910448,13.58870322,199.0945274,14.1985221,87.97117117,14.36220884,73.0027027,13.44179953,63.97837838,12.9193786,155.0608108,15.04756409,1.667267146,0.892064729,199.2623231,0.016886919,199.8192921,2.181105821,0.556968955,2.182818028,3.936991136,2.081377674,199.0242312,0.053588391,200.37373,2.626688672,1.349498844,2.637721153,0.23809192,0.04946218,142.1153846,10.81603839,121.2115385,44.03073076,0.593573695,0.037097699,-0.022532975,0.006653041,0.417475914,0.088340553,-0.203809136,0.037562055,0.028436546,0.004237727,-0.361915741,0.076716175,0.517231507,0.111964281,0.133801423,0.036855469,-0.055267503,0.00801731,-0.018961221,0.009349158,1.180181507,0.387395124,0.889728346,0.055623924,-0.033758708,0.009968432,0.624772283,0.132194978,34
287.15,1.97673974,305.785,3.984818064,339.78,15.78643722,199.51,9.990990942,107.55,4.161430043,441.785,60.34764929,551.565,86.1447954,511.4,56.14009263,166.4673367,8.812832606,167.0201005,9.674584535,169.6733668,9.63551034,168.6281407,9.798082679,166.8291457,8.825554193,168.6432161,8.394083925,160.7738693,6.899429778,154.080402,4.757809538,112.7672956,40.20295244,101.4609164,43.90293498,95.44609164,45.64149937,142.1244385,37.19110291,3.609315566,2.799906863,199.6484176,0.040075296,200.3844338,1.498038104,0.736016202,1.511609407,3.588111783,1.856696162,199.4004067,0.02909809,200.3955334,1.544708192,0.995126772,1.537856453,0.248010913,0.048646925,133.48,34.93149868,60.34,37.0527246,0.667654081,0.045626394,-0.01824208,0.010817665,0.217848624,0.129070916,-0.230411356,0.065288478,0.026583599,0.011052732,-0.185364309,0.103282484,0.61586019,0.201606427,0.245058483,0.046030524,-0.051559344,0.02146403,-0.046275256,0.01282214,0.494054534,0.311299356,1.000713375,0.068500174,-0.027321882,0.016201499,0.325981002,0.193156453,33
291.8643216,1.958535864,309.2663317,2.37965035,346.4170854,5.515798192,223.7537688,3.21032777,121.3668342,4.933844305,409.2964824,27.18626496,454.3417085,59.22967662,471.8442211,48.39474258,212.09,7.151356515,214.39,8.014231092,215.77,9.216675105,211.26,9.139059033,213.49,8.955439688,207.105,8.975186628,203.69,9.998194837,197.57,10.94509479,170.94287,52.11666273,167.5865947,58.48448541,165.8146649,61.87970148,181.1776878,41.8629644,3.38555909,2.290939101,200.1786549,0.024315314,200.2694234,0.4230117,0.090768509,0.424070884,2.544934129,1.596655384,199.9469033,0.02001399,200.1444967,0.505797819,0.197593384,0.504991834,0.231751556,0.030011358,149.16,19.31668709,78.42,38.44845381,0.574980533,0.03078169,-0.023660103,0.006248183,0.068059846,0.11931558,-0.130224097,0.056394227,0.028951558,0.006053173,-0.05765413,0.092335089,0.309160176,0.149986532,0.105400254,0.072010896,-0.056207154,0.011346938,-0.016711352,0.010059237,0.145118012,0.233015275,0.861717502,0.046215419,-0.035447264,0.009359284,0.101868894,0.178618133,33
294.3333333,0.953304456,320.681592,2.531023322,379.6318408,5.744457081,247.8606965,5.975114022,133.8557214,3.856129011,493.0049751,12.37052246,543.7462687,18.27839707,552.0597015,12.44116174,196.678392,9.407421716,200.9698492,9.045340591,202.8040201,10.25782133,200.8844221,11.59846241,202.1658291,10.54197822,202.3467337,8.308461322,198.8442211,9.229668911,194.5427136,8.898474528,143.0310252,49.78054745,136.2558453,56.37546529,131.5094424,61.81884143,162.9451439,39.79099684,4.088487807,3.053656033,200.3942729,0.037493919,200.5413872,0.360691489,0.147114279,0.374894229,3.775709603,2.375231737,200.1342937,0.032160683,200.5344196,0.588681916,0.400125935,0.582786845,0.259979248,0.046198073,143.5,31.38869223,73.02,42.88705632,0.604647579,0.015038163,-0.008140643,0.005505845,0.140667642,0.156147315,-0.177480548,0.01255659,0.009762918,0.008835226,-0.113454471,0.114157989,0.432119023,0.037048066,0.103118348,0.031888932,-0.019185812,0.017284414,-0.017469069,0.012995435,0.296127536,0.314928305,0.906302364,0.022552614,-0.012195989,0.008248832,0.210524072,0.233727554,33
292.1980198,2.273479481,313.6980198,4.777514997,368.5,15.82085664,242.7524752,11.51400864,128.1287129,6.775265683,483.7722772,42.68544427,554.460396,51.21321105,572.9653465,45.99304497,200.9545455,10.12412633,206.8434343,9.048730718,205.6919192,9.018557487,200.2929293,11.64608793,202.8535354,9.175822569,198.2020202,10.32549047,194.3737374,9.392760869,185.6313131,9.545765855,161.3361836,56.22760529,158.5765077,63.59239751,158.1660666,67.14639259,176.009901,42.24410324,3.224068087,2.370486057,200.6225559,0.03644598,200.6926848,0.310297674,0.070128855,0.330968157,4.627432803,3.445057798,200.3592282,0.048701214,200.4836836,0.355253554,0.124455385,0.335272911,0.263327705,0.055211307,156.8627451,18.81595027,102.254902,45.42817781,0.62348999,0.013216782,-0.021420232,0.00657518,0.088426205,0.147636016,-0.199665474,0.026829592,0.028396467,0.007771469,-0.081126695,0.121210373,0.50172469,0.082649696,0.145876535,0.021070241,-0.055113226,0.014759109,-0.01897003,0.016399927,0.220834348,0.338009647,0.934546494,0.019869306,-0.032089729,0.009850192,0.132322371,0.220972689,31
286.6368159,2.335628823,299.6567164,3.462171861,308.4079602,11.35158333,194.2835821,6.865022682,106.39801,7.045749293,300.0497512,15.43329451,336.2736318,18.91509574,356.8507463,13.78973632,207.5606061,6.784106771,207.6616162,6.169462218,202.6616162,5.505886787,200.0707071,7.39198655,197.9494949,4.885297955,192.5959596,6.303629213,182.0707071,4.762548603,173.479798,7.313823632,202.2953624,33.62333564,206.3975687,36.50673889,209.2714993,36.16342718,203.4173796,25.47050354,2.47764804,1.702333167,200.7785818,0.032655447,200.8255243,0.233814015,0.046942509,0.234306801,2.223478233,1.189184682,200.5832087,0.027109089,200.7425635,0.358392705,0.159354778,0.360428456,0.195373073,0.019243821,158.4081633,18.23085338,116.5510204,26.17995902,0.518860682,0.032481654,-0.041802977,0.008313485,-0.007880869,0.049623435,-0.042882773,0.028633486,0.0535028,0.011792962,0.00053958,0.049596785,0.091525659,0.064243256,0.120579051,0.008039347,-0.101335103,0.021098579,-0.054388576,0.011750629,0.004867206,0.120311645,0.777412163,0.048677414,-0.062621981,0.012453616,-0.011827092,0.074277416,36
290.804878,1.329212351,310.1073171,1.294715383,335.4341463,6.512412529,222.6341463,6.407907073,125.0146341,2.718460915,371.0634146,30.82635676,405.5804878,30.35914472,448.2487805,27.54351875,241.8512821,2.332256725,245.8051282,2.819888043,245.5179487,3.505809961,241.7538462,3.875091142,240.2717949,2.656964599,229.9333333,2.790214892,228.2666667,3.390887739,218.7435897,4.893312803,80.57059089,37.12924192,74.13261164,32.70833791,69.03969328,21.41115963,68.32792061,24.3637726,2.770080112,1.382025938,200.746382,0.027815626,200.7491328,0.027772349,0.002750808,0.004053803,2.516486446,1.679305918,200.5278849,0.023182406,200.5434885,0.012807317,0.015603559,0.021528773,0.218497095,0.02865319,154.0769231,5.837037426,3.480769231,3.072773644,0.527629235,0.018598545,-0.025647225,0.003243038,-0.013176077,0.075648259,-0.093343942,0.026915108,0.036415685,0.002120837,0.023962464,0.087800241,0.207899523,0.067097702,0.093785181,0.011974475,-0.070264278,0.003943887,-0.007249982,0.008368138,-0.030726284,0.188857311,0.790697546,0.027916516,-0.038429781,0.004859015,-0.019636977,0.112963304,21
290.885,1.559414954,309.315,1.501923766,336.83,11.21789196,219.155,7.531996747,122.865,5.289307611,370.07,42.55661053,413.635,42.38162072,444.885,26.63347095,232.6432161,6.15775376,234.6582915,4.711135008,235.5879397,4.189128701,232.2211055,6.352410755,231.1155779,4.230982701,222.7286432,4.73909578,218.7688442,4.06441033,213.3417085,4.925966384,54.76687669,17.69100778,48.50315031,11.52044865,53.92394239,7.16998652,78.18361836,36.57135538,2.542495707,2.322670252,200.7097758,0.026923389,200.719046,0.023093229,0.009270213,0.009190331,3.389923353,1.675240505,200.610252,0.038065243,200.6450119,0.134794513,0.034759982,0.122238563,0.099523803,0.058126246,148.9591837,8.407866054,35.48979592,38.4692416,0.540089339,0.022736521,-0.027445895,0.003598593,0.129594737,0.20676178,-0.099949925,0.034124243,0.037023929,0.00408161,-0.189907063,0.152196965,0.225349194,0.085777044,0.119890224,0.031890619,-0.071374331,0.007587778,-0.017677492,0.009679785,0.56649302,0.533218971,0.809376564,0.034134585,-0.041123121,0.005391892,0.19390359,0.309121553,30
289.28,1.393413076,314.24,2.963511431,356.395,7.553077187,232.355,5.962296118,129.97,5.331894598,427.015,28.40589331,473.935,29.4161652,501.05,26.72728007,218.377551,9.241670608,222.3265306,8.178213355,223.4081633,10.2900157,217.4132653,7.584061399,218.2295918,9.607253947,209.9642857,5.11836928,207.1785714,9.07922893,199.6938776,4.450196426,62.77503368,30.30718564,55.8688819,26.80064702,56.67220476,16.30519309,92.40682533,49.73163461,3.056248801,2.351040021,200.8962445,0.047766592,201.1232642,0.570528314,0.227019719,0.606241774,6.636692381,3.578696868,200.7105563,0.077032402,200.9866432,0.643284225,0.276086846,0.631423454,0.185688175,0.101166424,142.8979592,28.38600179,44.20408163,43.56509537,0.568699735,0.023513598,-0.025969079,0.006329105,0.167406019,0.224079623,-0.140569636,0.027103997,0.037635437,0.006573009,-0.204897759,0.157420916,0.329376224,0.071487537,0.110326535,0.016727019,-0.072463759,0.012157066,-0.013634565,0.024015004,0.618895233,0.540990578,0.852343105,0.0352683,-0.038907821,0.009482475,0.250598496,0.334898286,28
